####################################################
#    TURTLESHROOM PRODUCTIONS PROUDLY PRESENTS     #
# THE EXTENSTION TO AVROLANCASTER'S RELIGIOUS WORK #
####################################################
################################
# GOD LISTS AND EVIL GOD LISTS #
################################
GOD_STAR_ROD;The Star Rod;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_POWER_STARS;The Power Stars;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_GRAND_STARS;The Grand Stars;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_ROSALINA;Rosalina;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_STAR_SPRITES;The Star Sprites;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_ELDSTAR;Eldstar;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_MAMAR;Mamar;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_SKOLAR;Skolar;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_MUSKULAR;Muskular;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_MISSTAR;Misstar;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_KLEVAR;Klevar;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_KALMAR;Kalmar;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_STAR_ROAD;The Star Road;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_GENO;Geno;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_MARIO;Mario;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_THE_MARIO_BROTHERS;The Super Mario Brothers;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_LUIGI;Luigi;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_BEANSTAR;The Beanstar;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_THE_SUN;The Sun;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_THE_MUSHROOM_DJINN;The Mushroom Djinn;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_DJINN_OF_THE_LAMP;Djinn of the Lamp;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_GUIDE_TO_THE_STARS;Guide to the Stars;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_THE_BANANA_HOARD;The Banana Hoard;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_GOLDEN_BANANAS;The Golden Bananas;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_MAN;Man;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_MANKIND;Mankind;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_THE_FORMS;The Forms;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_THE_FORM_BATON;The Form Baton;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_NARRATOR;The Narrator;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_SPLUNK;The Splunks;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROPHET_FUNKYTOWN;Funkytown;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROPHET_HAMMER_TIME;Hammer Time;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROPHET_MIRROR_BALL;Mirror Balls;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_CREEPY_STEEPLE;Creepy Steeple;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_MOMMA_PEACH;Momma Peach;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_PORTAL;The Interdimensional Portal;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_THE_METEORITE;The Cretaceous Meteorite;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROPHET_THE_ODYSSEY;The Odyssey;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_THE_GREAT_FUNGUS;The Great Fungus;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_THE_FUNGAL_KING;The Fungal King;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
